C:/dev/tomato/tomato_engine/data/tomato_engine.ctm Timings
ordinal, date, duration, status
0, 2022-05-22 22:13.15, 0.312s, succeeded
1, 2022-05-22 22:13.40, 0.219s, succeeded
2, 2022-05-22 23:00.00, 0.218s, succeeded
3, 2022-05-22 23:01.29, 0.203s, succeeded
4, 2022-05-22 23:06.04, 0.218s, succeeded
5, 2022-05-22 23:08.50, 5.953s, succeeded
6, 2022-05-22 23:12.28, 0.219s, succeeded
7, 2022-05-22 23:13.23, 0.219s, succeeded
8, 2022-05-22 23:13.37, 0.204s, succeeded
9, 2022-05-22 23:13.54, 2.016s, succeeded
10, 2022-05-22 23:20.57, 0.250s, succeeded
11, 2022-05-22 23:23.46, 1.515s, succeeded
12, 2022-05-23 01:29.47, 0.281s, succeeded
13, 2022-05-23 01:31.58, 0.203s, succeeded
14, 2022-05-23 01:32.19, 0.266s, succeeded
15, 2022-05-23 01:32.33, 0.203s, succeeded
16, 2022-05-23 01:32.53, 0.282s, succeeded
17, 2022-05-23 01:33.15, 0.219s, succeeded
18, 2022-05-23 01:33.24, 0.204s, succeeded
19, 2022-05-23 01:33.37, 0.203s, succeeded
20, 2022-05-23 01:54.54, 0.203s, succeeded
21, 2022-05-23 01:58.30, 0.218s, succeeded
22, 2022-05-23 01:59.51, 6.422s, succeeded
23, 2022-05-23 02:06.56, 0.219s, succeeded
24, 2022-05-23 02:07.09, 0.218s, succeeded
25, 2022-05-23 02:09.40, (never completed), failed
26, 2022-05-23 02:10.55, (never completed), failed
27, 2022-05-23 02:12.38, 0.219s, succeeded
28, 2022-05-23 02:14.31, 0.328s, succeeded
29, 2022-05-23 02:15.01, 0.234s, succeeded
30, 2022-05-23 02:16.42, 0.235s, succeeded
31, 2022-05-23 02:17.39, 0.235s, succeeded
32, 2022-05-23 02:19.31, 0.218s, succeeded
33, 2022-05-23 02:20.28, 0.235s, succeeded
34, 2022-05-23 02:21.01, 0.235s, succeeded
35, 2022-05-23 02:21.30, 0.235s, succeeded
36, 2022-05-23 02:22.38, 0.234s, succeeded
37, 2022-05-23 02:22.44, 0.234s, succeeded
38, 2022-05-23 02:23.25, 3.624s, succeeded
39, 2022-05-23 02:25.16, 0.264s, succeeded
40, 2022-05-23 02:25.38, 0.235s, succeeded
41, 2022-05-23 02:26.25, 0.234s, succeeded
42, 2022-05-23 02:27.47, 0.219s, succeeded
43, 2022-05-23 02:28.01, 0.234s, succeeded
44, 2022-05-23 02:28.53, 0.218s, succeeded
45, 2022-05-23 02:29.27, 0.234s, succeeded
46, 2022-05-23 02:29.42, 0.250s, succeeded
47, 2022-05-23 02:29.53, 0.234s, succeeded
48, 2022-05-23 02:30.04, 0.234s, succeeded
49, 2022-05-23 02:30.47, 0.234s, succeeded
50, 2022-05-23 02:31.01, 0.234s, succeeded
51, 2022-05-23 02:31.07, 0.235s, succeeded
52, 2022-05-23 02:31.56, 0.234s, succeeded
53, 2022-05-23 02:32.05, 0.235s, succeeded
54, 2022-05-23 02:34.40, 0.235s, succeeded
55, 2022-05-29 22:24.15, 0.375s, succeeded
56, 2022-05-29 22:31.28, 0.265s, succeeded
57, 2022-05-29 22:31.42, 0.281s, succeeded
58, 2022-05-29 22:32.49, 0.281s, succeeded
59, 2022-05-29 22:33.44, 0.281s, succeeded
60, 2022-05-29 22:35.17, 0.281s, succeeded
61, 2022-05-29 22:35.29, 0.265s, succeeded
62, 2022-05-29 22:35.46, 0.296s, succeeded
63, 2022-05-29 22:36.03, 0.297s, succeeded
64, 2022-05-29 22:36.13, 0.281s, succeeded
65, 2022-05-29 22:37.21, 0.282s, succeeded
